Author ID,Title,Content,Publish Time,Likes,Favorites,Comments
云淡风轻,,"中年完全感觉
不到快乐，
是个人问题
还是普遍问题",06-23 吉林,6583,4561,4338
zabulle,🇫🇷 我发誓，我绝不会来中国。（Part 1）,"我对自己说过这句话。
像一个刻进脑海的禁令，根深蒂固。
我宁愿在没有空调的巴黎地铁里坐满一个月，
宁愿连续听24小时的名创优品BGM，[呃R]
也不愿意降落在北京。
“那不是我该去的地方。”
太粗犷，
太陌生，
太工业化。
当时的我，走得不远。
结果，一开始就走进了最让我害怕的地方。
⸻
1️⃣ “小心污染，你会受不了的。”
大家劝我时，像是在送我上前线。
说那里的空气会黏在皮肤上、刺眼刺鼻、让人脸色发灰。
说我会一直咳嗽，拍出来的照片也是一片灰蒙蒙。
简直就是加重版的巴黎。[呃R]
结果呢？
我踏上北京那天，天气刚刚好。
没有污染预警，空气清新。
最让我震惊的——
天空蓝得让人心安，甚至有点嚣张。
没有一丝雾霾，光线干净得像在说：
“你误会我了。”
更神奇的是，
“下雪了”。
不是冰，不是冬天——
而是从树上飘下来的春天。
柳絮像雪花一样在空中飞舞，
柔软、安静、不可思议。
我站在那，什么也没做，
只是看着这场“假雪”跳舞，
突然就有一种说不出的眩晕感。
与此同时，巴黎的朋友们正在打喷嚏，
天空灰得像土，
污染预警成了家常便饭。
原来——
真正的“雾”，不在中国的空气里，
而是在我自己的脑子里。
⸻
📩 我现在想问你们一个问题：
我是那个用法语写字的法国人，
但你们才是真正了解中国的人。
你觉得，
还有哪些外国人对中国有误解？
他们还怕什么？还在犹豫什么？
你可以留言告诉我。
我会认真读，也会慢慢写出来。
	
#法国人在中国
#citywalk
#中国旅行
#一个人旅行
#生活记录
#旅途随笔",5小时前 法国,6111,367,1749
阮で酱,剪鲻鱼头的人嘴真严😭👍,#别贴脸开大 #鲻鱼头 #无意冒犯致歉一切 #被理发师剪毁的头发 #再也不玩抽象了,07-03 四川,5275,539,866
喝掉可乐📸,光亮起来的那刻美我一大跳 ！！,"呜呜呜 美成芭比了！！
#张韶涵演唱会
#张韶涵
#演唱会现场
#有形的翅膀
#live现场",编辑于 昨天 23:09 江西,3313,384,256
任灰灰美学日记,30s教你自测是否适合大光明发型✅,有这几种头型特征的人扎大光明更好看#大光明发型 #面部分析 #五官分析#刘亦菲 #杨颖#张婧仪,编辑于 4天前 北京,994,529,234
梓鹿Zicky🍀（演唱会&路演）,“主要是周深”泷哥秒变乖巧🤣韩红认证闷骚😆,"也是看到《声生不息》俩姐弟的售后啦哈哈
#汪苏泷 #韩红 #周深 #韩红演唱会 #韩红合肥演唱会 #韩红合肥演唱会嘉宾汪苏泷 #声生不息 #汪苏泷演唱会 #汪苏泷十万伏特 #音乐现场分享",昨天 21:59 安徽,6942,943,361
卷心菜,我的德国女老师🇩🇪,"老德真的盛产硬朗的女子
	
不好意思标题党了[捂嘴笑R]
有人知道这个照片的出处吗
在dy刷到感觉好酷，每个人说法都不一样，有各种ip现身说法
#德国 #留子 #帅哥 #美女 #日耳曼
#酷girl #德国女生 #德国生活",编辑于 07-03 北京,3.8万,3317,1302
小小鱼（斯，必回）,25了还没交卷~~,"🐶小狗女友恋爱脑细节大赏｜原来爱会让人变成小侦探～
他朋友圈发的风景照，我放大10 倍找定位。看到街角的咖啡店招牌，立刻搜营业时间，算着他下次可能去的时间，揣着他喜欢的黑巧克力蹲在对面长椅上 —— 结果等了三小时，只看到他和同事说说笑笑走出来。
把他随口吐槽的 “快递柜太远” 记成任务。每天算着他收快递的时间，提前半小时守在楼下，看到穿蓝马甲的小哥就扑上去：“3 单元的快递我来拿！” 扛着沉重的纸箱爬楼梯时气喘吁吁，敲开门却只敢说 “刚好路过”。
他微博点赞过的博主，被我翻到三年前的帖子。发现他喜欢的博主推荐过手工饼干，立刻买材料学烘焙。黄油软化时烫到手，面粉撒了满桌，烤焦第三盘时终于成功，装盒时特意用丝带系成他喜欢的蝴蝶结，结果他收到时只说 “放冰箱吧”。
手机备忘录里藏着他的 87 条习惯：喝可乐要加冰两块，开会时会转笔，讨厌香菜但能接受香菜味的薯片…… 连他皱眉的频率都记着，朋友说我像在写侦探报告，可我只是想在他需要时，第一时间递上他想要的呀。
其实我知道自己有点傻气，可喜欢一个人时，谁不是这样呢？像只摇着尾巴的小狗，把他的一举一动都当成指令，哪怕只是得到一句淡淡的回应，也能开心一整天💖#90后 #想吃爱情的苦 #留学生回国无社交 #主动才会有爱情 #今年主线任务 #主动点爱情不就来了吗 #主动点就会有故事",5天前 甘肃,49,4,23
紫柒,今天穿什么？,#酒店对镜拍 #正常穿搭可出门 #御姐 #吊带长裙 #紧身裙 #我自风情万种 #包臀裙yyds #修身连衣裙,编辑于 2天前 广东,310,38,86
低调的珍珠,好热好热🫠,河南真的好热呀，回家每天都要开空调，最近上班有一点累呢，好久都没有更新了，不知道宝贝们过得怎么样呢？,7天前 河南,269,42,33
好困芽Oni.,山西煤老板的审美❗️❗️❗️,"太原植物园晚上开灯之后也太美了吧呜呜呜！
可以永远相信山西煤老板的审美嘻嘻🎀🎀
#丢掉滤镜真实更美 #喜欢一切美丽的事物 #长在审美点上系列 #审美天花板 #随手一拍就是大片 #这么近那么美 #山西太原 #太原植物园",07-05 山西,124,12,18
魏宇鹏,,大娘肯定见过就是不给我说#搞笑 #迷惑行为大赏,07-10 河南,929,35,76
小红薯6864CB20,,"很远的话就不行的，师🐔
🉑......私.....
既然你决定了去爱，你就要做好心理准备去承受之后所有可能发生变故，爱一个人到恨一个人最后连名字也记不清，这都只是时间的问题，深爱过一个人的人明白，往往最痛苦的是明明两个人还相爱，却因为各种原因不得不分开，各自成家，这怨不得别人，只怨他们爱的不坚定，如若当初他们都坚定自己的那份爱情，怎么会有之后的别离、痛苦、悲剧。",3小时前 湖南,点赞,收藏,评论
Raini,🧃,#每日穿搭 #韩系穿搭 #不是今天拍的 #我的日常 #随地大小拍,5天前 湖南,2064,507,65
happy,人不长情 人之常情,,07-09 河北,346,65,15
欧尼oni,,🐌 🐭 🐘 🍐 连起来就是我想对你说的话#我的ootd #露肩上衣 #每日穿搭,3天前 黑龙江,55,10,3
latebutgoodselects,🇯🇵天呐‼️日本便利店这位也太美了吧,"真的是太肤白瘦高太美了吧！！！！本来只是想看看美女姐姐提的包 整个人都美的挪不开眼🫣
	
#便利店 #东京便利店 #穿搭 #中古包 #ferragamo包包 #银座 #东京银座 #银座街头 #街头穿搭 #优雅穿搭",编辑于 7天前 北京,3100,858,383
ViVi蒋蒋,🇫🇷巴黎日记｜Storewalk的一天,"无法不在巴黎的行程上安排上玛黑区
以前读书的时候在玛黑区住了一年多
熟悉感和回忆都在这里啦
	
📍 A La Mère de famille
16 Rue Rambuteau, 75004 Paris
巴黎最古老的糖果铺～
买几样精美的糖果巧克力
老式的杏仁饼和马卡龙也超赞
	
📍 ：La Favorite Saint-Paul
4 Rue de Rivoli, 75004 Paris
粉色花海咖啡厅 超级出片
随手拍都好看
	
📍 Glace Bachir
58 Rue Rambuteau, 75003 Paris
正宗的黎巴嫩满满开心果冰淇淋
店员超级热情会给试吃招牌味道
	
其实还拍了很多店铺和视频来不及剪
以上 vlog请等等我
	
哈哈后面塞了几张第一天的照片
上一条视频发过就不碎碎念啦
OOTD都是MarieElie的早秋新款
和我一起期待上新吧～
	
#闲逛的意义  #世界不过一条街 #storewalk #法式穿搭 #来和我一起云逛街 #法国人的浪漫 #玛黑区[poi_v2]#",07-11 法国,141,24,15
韶小仙,都说我像张韶涵！,#变美逆袭 #变美 #张韶涵 #张韶涵歌曲 既然你们都说我像张韶涵，我也摊牌了，小的时候上初中就有人说了！#剧会音乐西餐厅  [poi_v2]#,编辑于 06-27 河南,682,96,2878
南京青石空间设计｜陈老师,原来暖咖意式轻奢才是业主苦苦寻找的设计,"Location｜项目地址：上海
Area｜项目面积：190m²
Project Description｜项目内容：纯设计
Design Agency｜项目设计：南京青石空间设计
	
客厅
✨沙发背景墙面主要用木饰面、木格栅、奢石、黑钛金属层板，排列组合，整体质感很好地，调性高级
✨电视背景墙采用悬浮电视墙和上下嵌入灯带的设计，起到视觉冲击力，高级又美观
✨电视背景墙靠入户门一侧做斯卡帕叠级，凸显大理石，胡桃木搭配咖色系背景墙材质，高端大气
✨客厅阳台打通，扩大空间
✨全屋无主灯设计提升了空间的通透感，意式轻奢硬装与精心搭配软装营造整屋高级感
✨客餐厅铺满大理石地砖和灰色地毯增加层次感。简单质感中不缺精致感
	
餐厅
✨厨房做开放式设计，空间大，视野开阔，生活用餐方便
✨大理石餐桌质感与现代并存，高级的石材与厨房墙面大理石呼应，整体协调统一
✨嵌入式冰箱与嵌入式蒸箱烤箱设计方便实用，硬装设计整体协调统一；所有嵌入式家电需要在定制橱柜之前预留好尺寸。餐岛一体的设计增加了餐厅的功能性
	
★专注全案设计｜南京设计｜工作室原创作品
★拒绝盗图|转载请注明原创方
	
#上海设计 #硬装设计 #暖咖色的家 #暖咖色系 #全屋定制 #意式极简 #电视背景墙 #沙发背景墙 #全案设计师#南京青石空间设计陈老师 #浪漫生活的记录者",编辑于 06-27 江苏,105,104,1
